country,cluster
Afghanistan,4
Albania,3
Algeria,6
Angola,4
Argentina,6
Armenia,3
Australia,3
Austria,1
Azerbaijan,1
Bahrain,2
Bangladesh,1
Belarus,6
Belgium,6
Belize,1
Benin,3
Bolivia,6
Bosnia and Herzegovina,6
Botswana,6
Brazil,1
Bulgaria,6
Burkina Faso,6
Burundi,6
Cabo Verde,6
Cambodia,6
Cameroon,4
Canada,5
Central African Republic,6
Chad,6
Chile,4
China,2
Colombia,4
Comoros,4
Congo,6
Costa Rica,6
Croatia,3
Cuba,6
Cyprus,6
Czechia,6
Côte d'Ivoire,6
Democratic Republic of Congo,1
Denmark,6
Djibouti,1
Dominican Republic,6
Ecuador,6
Egypt,6
El Salvador,6
Equatorial Guinea,6
Eritrea,6
Estonia,1
Eswatini,6
Ethiopia,6
Finland,5
France,1
Gabon,6
Georgia,1
Germany,3
Ghana,6
Greece,5
Guatemala,6
Guinea,6
Guinea-Bissau,4
Guyana,1
Haiti,6
Honduras,6
Hong Kong,2
Hungary,6
Iceland,3
India,1
Indonesia,6
Iran,6
Iraq,1
Ireland,5
Israel,4
Italy,5
Jamaica,6
Japan,3
Jordan,3
Kazakhstan,6
Kenya,4
Kuwait,1
Kyrgyzstan,6
Laos,6
Latvia,1
Lebanon,3
Lesotho,1
Liberia,6
Libya,4
Lithuania,3
Luxembourg,6
Madagascar,6
Malawi,6
Malaysia,2
Mali,6
Malta,1
Mauritania,4
Mauritius,1
Mexico,4
Moldova,6
Mongolia,1
Montenegro,6
Morocco,3
Mozambique,1
Myanmar,6
Namibia,6
Nepal,6
Netherlands,1
New Zealand,3
Nicaragua,6
Niger,6
Nigeria,4
North Macedonia,6
Norway,6
Oman,1
Pakistan,1
Panama,1
Papua New Guinea,6
Paraguay,1
Peru,1
Philippines,4
Poland,3
Portugal,6
Qatar,2
Romania,3
Russia,6
Rwanda,6
Saudi Arabia,2
Senegal,6
Serbia,1
Seychelles,5
Sierra Leone,6
Singapore,2
Slovakia,1
Slovenia,1
Somalia,6
South Africa,6
South Korea,3
South Sudan,4
Spain,5
Sri Lanka,4
Sudan,5
Suriname,1
Sweden,1
Switzerland,3
Syria,6
São Tomé and Príncipe,6
"Taiwan, China",1
Tajikistan,1
Tanzania,6
Thailand,6
The Gambia,6
Togo,4
Trinidad and Tobago,2
Tunisia,3
Turkey,6
Turkmenistan,6
Uganda,6
Ukraine,6
United Arab Emirates,2
United Kingdom,6
United States,4
Uruguay,3
Uzbekistan,1
Venezuela,6
Vietnam,6
Yemen,6
Zambia,5
Zimbabwe,6
